번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"149","위라클 : 우리 모두에게 기적을 = WERACLE","박위","토기장이","2022","9788977824768","","","","818","1","0","2022-12-29",
"150","혼자서 종이우산을 쓰고 가다","에쿠니 가오리","소담출판사","2022","9791160272994","","","","833.6","1","0","2022-12-29",
"151","일상 채우기 기술 : 삶을 마법처럼 바꾸는 작은 습관 만들기","요니","시프","2022","9791192421100","","","","199.1","1","0","2022-12-29",
"152","직장인이 꿈은 아니었습니다만?! : 꿀별 그림 에세이","꿀별","넥서스BOOKS","2022","9791166833755","","","","818","1","0","2022-12-29",
"153","(알면 보이고 보이면 돈이 되는)상권의 비밀 : 상권분석 전문가가 알려주는 상가 투자 절대원칙","이홍규","새로운 제안","2022","9788955336337","","","","327.87","1","0","2022-12-29",
"154","부자 엄마, 가난한 엄마  5년만에 1억으로 100억 자산을 이룬, 부자 엄마의 가난한 엄마 탈출기","이진화","트러스트북스","2022","9791192218571","","","","327.04","1","0","2022-12-29",
"155","낭만을 잊은 그대에게 : 불안하고 막막한 시대를 건너고 있는","김성중","흐름출판","2022","9788965965206","","","","809.05","1","0","2022-12-29",
"156","후회하기 싫으면 그렇게 살지 말고 그렇게 살 거면 후회하지 마라 : 월 200 벌던 가난한 직장인이 장사를 시작으로 인생을 초월한 방법","권프로, 장사","바이포엠 스튜디오","2022","9791192579054","","","","326.16","1","0","2022-12-29",
"157","청춘","디틀레우센, 토베","을유문화사","2022","9788932461328","","","","859.81","1","0","2022-12-29",
"158","자기만의 산책 : 자연과 세상을 끌어안은 열 명의 여성 작가들을 위한 걷기의 기록","앤드류스, 케리","예문아카이브","2022","9791163860914","","","","844","1","0","2022-12-29",
"159","밤새도록 이마를 쓰다듬는 꿈속에서 : 유혜빈 시집","유혜빈","창비","2022","9788936424800","","","480","811.608","1","0","2022-12-29",
"160","사춘기라는 우주 : 부모 너머 너와 나의 이야기","황영미","백도씨","2022","9788968333965","","","","818","1","0","2022-12-29",
"161","(무섭지만 재밌어서 밤새 읽는)천문학 이야기","아가타 히데히코","더숲","2022","9791192444253","","","","443","1","0","2022-12-29",
"162","나답게 쓰는 날들 : 어느 에세이스트의 기록:애정, 글, 시간, 힘을 쓰다","유수진","상상출판","2022","9791167820037","","","","818","1","0","2022-12-29",
"163","웹툰 내비게이션 : 시작이 어려운 사람들을 위한 웹툰 선택 가이드","조경숙","이김","2022","9791189680374","","","","657.3","1","0","2022-12-29",
"164","좀비즈 어웨이","배예람","안전가옥","2022","9791191193473","","","","813.6","1","0","2022-12-29",
"165","퇴근길의 마음 : 나를 잃지 않으면서 꾸준히 일하는 법에 대하여","이다혜","빅피시","2022","9791191825473","","","","818","1","0","2022-12-29",
"166","세계사 만물관 : 역사를 바꾼 77가지 혁명적 사물들","싱가라벨루, 피에르","윌북","2022","9791155815090","","","","909","1","0","2022-12-29",
"167","하루 5분 부자노트 : 인생이 바뀌는 진짜 돈 공부","윤성애","프롬북스","2019","9791188167241","","","","327.04","1","0","2022-12-29",
"168","공부하는 사람들을 위한 글쓰기 : 스트레스 없이, 생산성 있게 쓰고 싶은 사람들을 위한 매뉴얼","젠슨, 졸리","한겨레엔","2022","9791160408454","","","","802","1","0","2022-12-29",
"169","살 어떻게 뺐어요? : 다시는 요요가 오지 않게","이연실","더블:엔","2022","9791191382167","","","","517.52","1","0","2022-12-29",
"170","도시인의 월든 : 부족하고 아릅답게 살아가는 태도에 대하여","박혜윤","다산북스","2022","9791130693712","","","","199.1","1","0","2022-12-29",
"171","이제 나를 돌보며 살기로 했다 : 나를 존중하며 살아가는 법","박지연","청어람미디어","2022","9791158712037","","","","189.1","1","0","2022-12-29",
"172","만국과자점 마음 가는 대로 . 4 , 머나먼 약속과 꿀색 달의 웨딩케이크","미조쿠치 사토코","소미미디어","2022","9791138411967","","","4","833.6","1","0","2022-12-29",
"173","아무것도 아니라고 잘라 말하기 : 임솔아 소설집","임솔아","문학과지성사","2021","9788932039237","","","","813.6","1","0","2022-12-29",
"174","소설 보다 : 가을 2022","김기태","문학과지성사","2022","9788932040486","","","20223","813.6","1","0","2022-12-29",
